,time,open,high,low,close,volume,average,barCount
0,2026-02-08 23:00:00+00:00,25150.25,25228.0,25148.0,25226.25,6710.0,25198.8,4215
1,2026-02-08 23:03:00+00:00,25226.25,25257.5,25212.75,25252.0,4279.0,25238.45,2667
2,2026-02-08 23:06:00+00:00,25253.25,25254.0,25229.75,25249.0,3284.0,25241.9,2056
3,2026-02-08 23:09:00+00:00,25247.75,25248.75,25232.25,25243.0,1818.0,25238.525,1143
4,2026-02-08 23:12:00+00:00,25242.0,25250.0,25235.25,25245.5,1819.0,25242.725,958
5,2026-02-08 23:15:00+00:00,25245.5,25257.25,25237.25,25255.5,2343.0,25248.75,1259
6,2026-02-08 23:18:00+00:00,25255.5,25264.75,25245.0,25254.25,2982.0,25256.15,1506
7,2026-02-08 23:21:00+00:00,25254.25,25255.0,25247.25,25253.75,1008.0,25251.325,599
8,2026-02-08 23:24:00+00:00,25253.75,25265.5,25241.5,25243.5,1788.0,25254.525,1077
9,2026-02-08 23:27:00+00:00,25243.25,25251.25,25234.0,25235.0,1648.0,25240.625,927
10,2026-02-08 23:30:00+00:00,25235.25,25251.0,25223.5,25229.25,2753.0,25235.65,1511
11,2026-02-08 23:33:00+00:00,25229.0,25270.25,25225.75,25264.5,3016.0,25251.775,1702
12,2026-02-08 23:36:00+00:00,25265.25,25280.0,25258.25,25266.25,2841.0,25268.675,1491
13,2026-02-08 23:39:00+00:00,25266.75,25274.0,25255.0,25265.0,1453.0,25265.45,859
14,2026-02-08 23:42:00+00:00,25264.25,25276.5,25260.75,25274.0,965.0,25269.65,599
15,2026-02-08 23:45:00+00:00,25274.5,25290.75,25269.0,25281.25,4119.0,25278.775,2283
16,2026-02-08 23:48:00+00:00,25280.75,25294.75,25274.75,25285.25,2128.0,25284.675,1220
17,2026-02-08 23:51:00+00:00,25285.75,25295.0,25273.5,25279.25,1444.0,25282.975,865
18,2026-02-08 23:54:00+00:00,25279.25,25288.0,25267.5,25268.25,1504.0,25279.1,850
19,2026-02-08 23:57:00+00:00,25268.25,25279.0,25262.25,25275.75,1712.0,25271.075,969
20,2026-02-09 00:00:00+00:00,25275.25,25310.5,25269.25,25307.75,5136.0,25295.25,3032
21,2026-02-09 00:03:00+00:00,25307.25,25329.5,25297.0,25321.75,3538.0,25317.35,1963
22,2026-02-09 00:06:00+00:00,25321.25,25333.0,25312.75,25317.5,2285.0,25322.9,1366
23,2026-02-09 00:09:00+00:00,25318.0,25335.0,25307.0,25314.25,2885.0,25322.3,1652
24,2026-02-09 00:12:00+00:00,25314.75,25331.5,25298.0,25330.0,2909.0,25316.175,1704
25,2026-02-09 00:15:00+00:00,25330.0,25331.75,25300.5,25305.25,2245.0,25316.4,1403
26,2026-02-09 00:18:00+00:00,25305.5,25342.25,25301.75,25339.75,2339.0,25324.85,1336
27,2026-02-09 00:21:00+00:00,25339.5,25347.0,25326.5,25329.5,1942.0,25339.275,1131
28,2026-02-09 00:24:00+00:00,25329.0,25329.0,25301.0,25307.0,2207.0,25313.025,1318
29,2026-02-09 00:27:00+00:00,25306.75,25312.75,25293.25,25294.75,1943.0,25301.05,1146
30,2026-02-09 00:30:00+00:00,25294.5,25309.5,25288.75,25298.75,1967.0,25300.15,1171
31,2026-02-09 00:33:00+00:00,25300.0,25329.75,25298.75,25325.25,1864.0,25320.45,1126
32,2026-02-09 00:36:00+00:00,25325.25,25327.0,25308.0,25308.5,1293.0,25315.725,755
33,2026-02-09 00:39:00+00:00,25307.75,25311.0,25294.0,25305.0,1392.0,25302.9,763
34,2026-02-09 00:42:00+00:00,25305.5,25309.25,25292.25,25294.75,1143.0,25299.35,662
35,2026-02-09 00:45:00+00:00,25294.5,25299.5,25279.5,25284.5,1610.0,25288.375,932
36,2026-02-09 00:48:00+00:00,25284.5,25284.75,25263.75,25268.0,2434.0,25274.075,1460
37,2026-02-09 00:51:00+00:00,25267.75,25279.75,25261.25,25265.5,1855.0,25270.65,1009
38,2026-02-09 00:54:00+00:00,25264.5,25269.75,25257.5,25262.25,1501.0,25262.75,862
39,2026-02-09 00:57:00+00:00,25262.25,25277.75,25261.5,25263.5,1292.0,25268.725,810
40,2026-02-09 01:00:00+00:00,25263.5,25265.25,25253.0,25262.25,2445.0,25259.0,1376
41,2026-02-09 01:03:00+00:00,25261.25,25263.0,25244.5,25246.5,2095.0,25252.025,1211
42,2026-02-09 01:06:00+00:00,25246.75,25261.0,25237.0,25255.75,2721.0,25247.275,1546
43,2026-02-09 01:09:00+00:00,25255.0,25265.75,25252.25,25258.25,2210.0,25259.45,1250
44,2026-02-09 01:12:00+00:00,25257.25,25261.5,25242.5,25244.25,2230.0,25251.725,1207
45,2026-02-09 01:15:00+00:00,25244.75,25249.75,25234.5,25240.25,2305.0,25240.475,1249
